listing_id,date,available,price
22772,2019-04-21,f,
22772,2019-04-20,f,
22772,2019-04-19,f,
22772,2019-04-18,f,
22772,2019-04-17,f,
22772,2019-04-16,f,
22772,2019-04-15,f,
22772,2019-04-14,f,
22772,2019-04-13,f,
22772,2019-04-12,f,
22772,2019-04-11,f,
22772,2019-04-10,f,
22772,2019-04-09,f,
22772,2019-04-08,f,
22772,2019-04-07,f,
22772,2019-04-06,f,
22772,2019-02-23,f,
22772,2019-02-22,f,
22772,2019-02-21,f,
22772,2019-02-20,f,
22772,2019-02-19,f,
22772,2019-02-18,f,
22772,2019-02-17,f,
22772,2019-02-16,f,
22772,2019-02-15,f,
22772,2019-02-14,f,
22772,2019-02-13,f,
22772,2019-02-12,f,
22772,2019-02-11,f,
22772,2019-02-10,f,
22772,2019-02-09,f,
22772,2019-02-08,f,
22772,2019-02-07,f,
22772,2019-02-06,f,
22772,2019-02-05,f,
22772,2019-02-04,f,
22772,2019-02-03,f,
22772,2019-02-02,f,
22772,2019-02-01,f,
22772,2019-01-31,f,
22772,2019-01-30,f,
22772,2019-01-29,f,
22772,2019-01-28,f,
22772,2019-01-27,f,
22772,2019-01-26,f,
22772,2019-01-25,f,
22772,2019-01-24,f,
22772,2019-01-23,f,
22772,2019-01-22,f,
22772,2019-01-21,f,
22772,2019-01-20,f,
22772,2019-01-19,f,
22772,2019-01-18,f,
22772,2019-01-17,f,
22772,2019-01-16,f,
22772,2019-01-15,f,
22772,2019-01-14,f,
22772,2019-01-13,f,
22772,2019-01-12,f,
22772,2019-01-11,f,
22772,2019-01-10,f,
22772,2019-01-09,f,
22772,2019-01-08,f,
22772,2019-01-07,f,
22772,2019-01-06,f,
22772,2019-01-05,f,
22772,2019-01-04,f,
22772,2019-01-03,f,
22772,2019-01-02,f,
22772,2019-01-01,f,
22772,2018-12-31,f,
22772,2018-12-30,f,
22772,2018-12-29,f,
22772,2018-12-28,f,
22772,2018-12-27,f,
22772,2018-12-26,f,
22772,2018-12-25,f,
22772,2018-12-24,f,
22772,2018-12-23,f,
22772,2018-12-22,f,
22772,2018-12-21,f,
22772,2018-12-20,f,
22772,2018-12-19,f,
22772,2018-12-18,f,
22772,2018-12-17,f,
22772,2018-12-16,f,
22772,2018-12-15,f,
22772,2018-12-14,f,
22772,2018-12-13,f,
22772,2018-12-12,f,
22772,2018-12-11,f,
22772,2018-12-10,f,
22772,2018-12-09,f,
22772,2018-12-08,f,
22772,2018-12-07,f,
22772,2018-12-06,f,
22772,2018-12-05,f,
22772,2018-12-04,f,
22772,2018-12-03,f,
22772,2018-12-02,f,
22772,2018-12-01,f,
22772,2018-11-30,f,
22772,2018-11-29,f,
22772,2018-11-28,f,
22772,2018-11-27,f,
22772,2018-11-26,f,
22772,2018-11-25,f,
22772,2018-11-24,f,
22772,2018-11-23,f,
22772,2018-11-22,f,
22772,2018-11-21,f,
22772,2018-11-20,f,
22772,2018-11-19,f,
22772,2018-11-18,f,
22772,2018-11-17,f,
22772,2018-11-16,f,
22772,2018-11-15,f,
22772,2018-11-14,f,
22772,2018-11-13,f,
22772,2018-11-12,f,
22772,2018-11-11,f,
22772,2018-11-10,f,
22772,2018-11-09,f,
22772,2018-11-08,f,
22772,2018-11-07,f,
22772,2018-11-06,f,
22772,2018-11-05,f,
22772,2018-11-04,f,
22772,2018-11-03,f,
22772,2018-11-02,f,
22772,2018-11-01,f,
22772,2018-10-31,f,
22772,2018-10-30,f,
22772,2018-10-29,f,
22772,2018-10-28,f,
22772,2018-10-27,f,
22772,2018-10-26,f,
22772,2018-10-25,f,
22772,2018-10-24,f,
22772,2018-10-23,f,
